"drug","targets","avg_score"
"MITOGEN ACTIVATED PROTEIN KINASE INHIBITOR",1,0.292458255231852
"MITOMYCIN C ANALOG KW",1,1.12266233459969
"MPI",1,0.527311096554399
"MPS IN",1,0.790966644831599
"MRA US",1,1.06538364405889
"MW",1,0.790966644831599
"MYCOPHENOLATE MOFETIL",1,0.0701663959124806
"NAFAMOSTAT",1,0.0510301061181677
"NDPPC",1,0.790966644831599
"NEFLAMAPIMOD",1,0.1318277741386
"NELFINAVIR",1,0.355127881352963
"NERELIMOMAB",1,0.561331167299844
"NICARDIPINE",1,0.127950486663935
"NIMUSTINE",1,0.767702919983611
"NIROGACESTAT",1,0.0564976174879714
"NMS P",1,0.790966644831599
"Not Approved",1,NA
"OFLOXACIN",1,0.170600648885247
"OLOKIZUMAB",1,NA
"OMEPRAZOLE",1,NA
"ONERCEPT",1,0.561331167299844
"ORTATAXEL",1,0.187110389099948
"OSIMERTINIB",1,0.112995234975943
"OSUGACESTAT",1,0.395483322415799
"OZORALIZUMAB",1,NA
"PAMAPIMOD",1,0.1318277741386
"PAREGORIC",1,0.0445045171004992
"PEGINTERFERON ALFA A",1,NA
"PEGINTERFERON ALFA B",1,0.0998797166305208
"PEGSUNERCEPT",1,1.12266233459969
"PENTAMIDINE",1,2.04720778662296
"PEXMETINIB",1,0.0439425913795333
"PF",1,0.2636555482772
"PF",1,0.1977416612079
"PH",1,0.395483322415799
"PICIBANIL",1,0.224532466919938
"PNEUMOCOCCAL POLYVALENT VACCINE",1,1.12266233459969
"POLYVALENT VACCINE",1,2.04720778662296
"PP",1,0.1318277741386
"PRAVASTATIN SODIUM",1,NA
"PRAZOSIN HYDROCHLORIDE",1,0.112266233459969
"PRI",1,0.395483322415799
"PROCARBAZINE HYDROCHLORIDE",1,0.561331167299844
"PROPYLTHIOURACIL",1,0.0561331167299844
"PROTON PUMP INHIBITOR",1,0.280665583649922
"PYRAZINAMIDE",1,0.129537961684579
"RABEPRAZOLE",1,0.0431793205615265
"RALIMETINIB",1,0.1977416612079
"RALOXIFENE HYDROCHLORIDE",1,0.0409441557324592
"RECOMBINANT HUMAN ENDOSTATIN",1,0.790966644831599
"RESVERATROL",1,NA
"RIBAVIRIN",1,0.0841092350572807
"RIFAMPIN",1,0.0601426250678405
"RILONACEPT",1,NA
"RISEDRONIC ACID",1,NA
"RISPERIDONE",1,NA
"RITUXIMAB",1,0.0591879802254938
"RUTIN",1,0.112266233459969
"SAM MODULATOR CWP",1,0.790966644831599
"SAQUINAVIR",1,0.236751920901975
"SB",1,0.0219712956897666
"SB",1,0.0272747118907448
"SB",1,0.0255150530590838
"SELECTIVE ESTROGEN RECEPTOR MODULATOR",1,0.355127881352963
"SELENIUM",1,0.125339252242222
"SIGNAL TRANSDUCTION INHIBITOR",1,0.532691822029444
"SILTUXIMAB",1,2.13076728811778
"SIRUKUMAB",1,NA
"SKF",1,0.395483322415799
"SOBLIDOTIN",1,0.0660389608588052
"SPIRONOLACTONE",1,0.0701663959124806
"STAVUDINE",1,0.086358641123053
"TAK",1,0.395483322415799
"TALMAPIMOD",1,NA
"TEMSIROLIMUS",1,0.10546221931088
"TETRANDRINE",1,0.374220778199896
"THERAPEUTIC HORMONE",1,0.0255150530590838
"THYROGLOBULIN",1,0.682402595540987
"TILUDRONIC ACID",1,0.682402595540987
"TIMOLOL MALEATE",1,0.374220778199896
"TRAMETINIB DIMETHYL SULFOXIDE",1,0.033658155099217
"TRICIRIBINE",1,0.2636555482772
"TT",1,2.04720778662296
"USTEKINUMAB",1,NA
"VANTICTUMAB",1,0.225990469951885
"VERAPAMIL",1,0.0454935063693992
"VITAMIN A PALMITATE",1,0.710255762705926
"VITAMIN B",1,0.187110389099948
"VITAMIN K",1,0.236751920901975
"VX",1,0.395483322415799
"YSIL",1,1.06538364405889
