"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0005253","monoatomic anion channel activity","20/4553","102/18706",0.196078431372549,0.805588213761235,-1.11666508993384,0.893344012663649,1,1,"LRRC8D/MCOLN1/LRRC8A/VDAC2/BEST4/CLCN7/TTYH2/CLCN3/ANO8/VDAC3/ANO9/SLC26A6/MFSD8/CLCC1/CLCN6/CLIC1/CLCN5/SLC26A11/TTYH3/ANO6",20
"GO:0005516","calmodulin binding","43/4553","206/18706",0.20873786407767,0.857599491639994,-1.16563536086281,0.89542218258923,1,1,"RRAD/ADD2/CAMK1G/EEA1/EPB41/RGS16/ADCY3/ATP2B1/ADORA2A/MAPKAPK2/MARCKSL1/MYO1G/BASP1/ACE/PLA2G6/PDE1B/MAPKAPK5/EWSR1/STRN/SPHK1/MYO9B/SPTAN1/MYO1C/IQGAP2/DDX5/ADD3/AKT1/INVS/GEM/STRN4/ATP2B4/CEP97/RIT1/VAMP2/MAPKAPK3/MYH10/PPP3CB/SNTB2/NDUFAF4/IQGAP3/CAMSAP2/TPRG1L/MARCKS",43
"GO:0005326","neurotransmitter transmembrane transporter activity","3/4553","20/18706",0.15,0.616274983527345,-0.973823761176693,0.897730200886316,1,1,"SLC22A4/SLC29A3/SLC6A3",3
"GO:0015464","acetylcholine receptor activity","3/4553","20/18706",0.15,0.616274983527345,-0.973823761176693,0.897730200886316,1,1,"CHRNB1/CHRNE/ANXA9",3
"GO:0016638","oxidoreductase activity, acting on the CH-NH2 group of donors","3/4553","20/18706",0.15,0.616274983527345,-0.973823761176693,0.897730200886316,1,1,"PNPO/IL4I1/LOXL1",3
"GO:0030627","pre-mRNA 5'-splice site binding","3/4553","20/18706",0.15,0.616274983527345,-0.973823761176693,0.897730200886316,1,1,"PRPF39/RNVU1-15/RNVU1-3",3
"GO:0008028","monocarboxylic acid transmembrane transporter activity","13/4553","70/18706",0.185714285714286,0.763007122462427,-1.12670803472608,0.900414675966088,1,1,"FABP5/SLC6A12/SLC2A1/SLC16A3/SLC16A6/SLC27A1/SLC16A14/SLC6A8/MFSD2A/SLC16A1/SLC26A6/SLC10A3/SLC16A8",13
"GO:0004190","aspartic-type endopeptidase activity","6/4553","36/18706",0.166666666666667,0.68474998169705,-1.07383521001414,0.902381274551205,1,1,"DDI2/SPPL3/SPPL2B/CTSD/SPPL2A/NRIP3",6
"GO:0098631","cell adhesion mediator activity","20/4553","103/18706",0.194174757281553,0.797766968967436,-1.16730041101346,0.902751517278716,1,1,"IGSF9/ITGAD/CLSTN3/DAG1/TMOD3/PKP2/NECTIN4/RAB10/VTN/S100A11/NINJ1/PDLIM1/CTNND1/ESAM/NLGN2/PALLD/PLAUR/HMCN1/NTNG2/DSCAML1",20
"GO:0017147","Wnt-protein binding","5/4553","31/18706",0.161290322580645,0.662661272610048,-1.06615456792871,0.904272677218455,1,1,"RECK/PORCN/FZD2/FZD7/FZD4",5
"GO:0022839","monoatomic ion-gated channel activity","5/4553","31/18706",0.161290322580645,0.662661272610048,-1.06615456792871,0.904272677218455,1,1,"TMEM63C/TMEM63B/ASIC3/KCNT1/ANO6",5
"GO:0004714","transmembrane receptor protein tyrosine kinase activity","11/4553","61/18706",0.180327868852459,0.740877029377136,-1.14972259272854,0.906758779494508,1,1,"IGF1R/FGFR1/MET/EPHA1/FLT3/EFNA4/FGFRL1/EPHB4/EPHB3/FLT1/AXL",11
"GO:0005546","phosphatidylinositol-4,5-bisphosphate binding","16/4553","85/18706",0.188235294117647,0.773364685210785,-1.18778811213311,0.908798071738032,1,1,"ADAP2/MAPKAP1/CGAS/MYO1G/PLCD1/DNM1/SESTD1/FZD7/EXOC1/PHLDA3/DNM2/KCNJ2/OSBPL2/EXOC7/RAB35/PFN1",16
"GO:0015085","calcium ion transmembrane transporter activity","29/4553","145/18706",0.2,0.82169997803646,-1.22246980401835,0.908842748075211,1,1,"GRIN3A/SLC8B1/TSPOAP1/ATP2A2/MCOLN1/ATP2B1/TRPC4AP/CHRNA10/TMEM165/TRPM7/GRINA/TMBIM6/TMBIM1/ITPR2/CACNB3/CACNA2D3/CACNA1E/TMEM65/ATP2A3/ITPR1/SLC30A1/ANO9/ATP2B4/CNGB1/SEC61A1/CACNA1G/CACNA1A/P2RX4/ATP2A1",29
"GO:0004859","phospholipase inhibitor activity","2/4553","15/18706",0.133333333333333,0.54779998535764,-0.993718467536029,0.91130142727874,1,1,"ANXA5/ANXA3",2
"GO:0008020","G protein-coupled photoreceptor activity","2/4553","15/18706",0.133333333333333,0.54779998535764,-0.993718467536029,0.91130142727874,1,1,"OPN3/GPR88",2
"GO:0015556","C4-dicarboxylate transmembrane transporter activity","2/4553","15/18706",0.133333333333333,0.54779998535764,-0.993718467536029,0.91130142727874,1,1,"SLC16A1/SLC25A12",2
"GO:0015929","hexosaminidase activity","2/4553","15/18706",0.133333333333333,0.54779998535764,-0.993718467536029,0.91130142727874,1,1,"HEXA/CEMIP2",2
"GO:0016846","carbon-sulfur lyase activity","2/4553","15/18706",0.133333333333333,0.54779998535764,-0.993718467536029,0.91130142727874,1,1,"KYAT3/LTC4S",2
"GO:0030553","cGMP binding","2/4553","15/18706",0.133333333333333,0.54779998535764,-0.993718467536029,0.91130142727874,1,1,"PDE2A/CNGB1",2
"GO:0042809","nuclear vitamin D receptor binding","2/4553","15/18706",0.133333333333333,0.54779998535764,-0.993718467536029,0.91130142727874,1,1,"MED30/TOB2",2
"GO:0070742","C2H2 zinc finger domain binding","2/4553","15/18706",0.133333333333333,0.54779998535764,-0.993718467536029,0.91130142727874,1,1,"TAF9/EHMT2",2
"GO:0099103","channel activator activity","2/4553","15/18706",0.133333333333333,0.54779998535764,-0.993718467536029,0.91130142727874,1,1,"FHL1/AKT1",2
"GO:0005504","fatty acid binding","8/4553","47/18706",0.170212765957447,0.699319130243795,-1.17061469747474,0.914765955648045,1,1,"FABP5/PPARD/ADH5/ID3/PPARG/ACOX1/TMEM175/PRR7",8
"GO:0140828","metal cation:monoatomic cation antiporter activity","7/4553","42/18706",0.166666666666667,0.68474998169705,-1.16006101155595,0.914985568817262,1,1,"SLC8B1/SLC9A3/TMEM65/SLC30A5/SLC30A1/SLC11A1/SLC9A8",7
"GO:0008373","sialyltransferase activity","3/4553","21/18706",0.142857142857143,0.586928555740328,-1.07421619975059,0.915810866136042,1,1,"ST3GAL1/ST6GALNAC4/ST6GAL1",3
"GO:0015174","basic amino acid transmembrane transporter activity","3/4553","21/18706",0.142857142857143,0.586928555740328,-1.07421619975059,0.915810866136042,1,1,"SLC38A9/SLC7A1/SLC15A4",3
"GO:0015377","chloride:monoatomic cation symporter activity","3/4553","21/18706",0.142857142857143,0.586928555740328,-1.07421619975059,0.915810866136042,1,1,"SLC6A12/SLC6A8/SLC6A3",3
"GO:0035615","clathrin-cargo adaptor activity","3/4553","21/18706",0.142857142857143,0.586928555740328,-1.07421619975059,0.915810866136042,1,1,"AP1G2/AP1G1/AP3M1",3
"GO:0036122","BMP binding","3/4553","21/18706",0.142857142857143,0.586928555740328,-1.07421619975059,0.915810866136042,1,1,"BMPR2/CHRD/TCAP",3
"GO:0005125","cytokine activity","50/4553","241/18706",0.20746887966805,0.852385869332427,-1.30817313649426,0.918737014586711,1,1,"TGFB1/CXCL1/IL1A/CCL20/TNFSF8/VEGFA/CCL2/CXCL3/CCL3/GRN/SPP1/CSF3/SECTM1/CSF2/IL23A/CXCL5/CCL7/WNT5A/CCL5/TIMP1/CLCF1/NAMPT/CMTM1/EDN1/CXCL2/EBI3/IL1B/BMP6/LTB/BMP2/CSF1/CCL3L3/IL27/CXCL16/TNF/GDF15/IL7/BMP1/IL10/CXCL8/IL1RN/TNFSF18/CCL4/CXCL6/GPI/LIF/IFNB1/IL6/TNFSF10/WNT5B",50
"GO:0015291","secondary active transmembrane transporter activity","61/4553","290/18706",0.210344827586207,0.864201701038345,-1.32190152561393,0.919649297219817,1,1,"SLC8B1/SLC9A3/SLC6A12/SLC16A3/SLC47A2/SLC37A1/SLC35A3/SLC15A3/SLC35A5/SLC13A4/SLC22A5/SLC16A14/SLC23A2/SLC30A4/SLC1A2/SLC35E4/SLC5A3/SLC7A5/TMEM165/SLC6A8/MFSD2A/MFSD12/SLC25A3/SLC22A4/SLC25A17/SLC46A2/TMEM65/SLC39A8/SLC30A5/SLC5A9/CLCN7/SLC16A1/SLC38A7/SLCO4A1/SLC25A30/MFSD1/SLC30A6/SLC35A1/CLCN3/SLC30A1/SLC35E3/SLC26A6/SLC30A9/SLC7A11/SLC10A3/SLC15A4/SLC11A1/SLC6A7/XPR1/SLC25A12/SLC11A2/SLC35B1/CLCN6/SLC6A3/SLC35B2/SLC15A2/SLC9A8/CLCN5/SLC16A8/SLC26A11/SLCO5A1",61
