"ONTOLOGY","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"MF","GO:0008186","ATP-dependent activity, acting on RNA","39/4553","78/18706",0.5,2.05424994509115,5.29189479764021,8.15481280857841e-07,8.01680828412554e-05,8.01680828412554e-05,"DHX40/MTREX/DDX3X/DDX6/SUPV3L1/DDX41/DHX15/DDX39B/DDX31/DDX24/HELZ2/DHX34/UPF1/DDX1/DDX21/DDX59/DHX32/RAD54L2/DDX50/DHX29/DDX39A/DDX55/DDX10/DDX19B/DDX5/FANCM/SETX/MOV10/DHX57/DDX28/DHX37/PIF1/HELZ/DDX42/DHX8/DDX23/DHX33/DHX38/DDX46",39
"MF","GO:0016922","nuclear receptor binding","59/4553","138/18706",0.427536231884058,1.75653256174461,5.05927204455008,1.45114671880577e-06,0.000132468964759555,0.000132468964759555,"ZBTB7A/XBP1/CEBPB/TRIP6/LRIF1/PCNA/NCOA6/PARP1/PRMT2/NR4A1/NR1H2/TGFB1I1/OASL/RNF14/YWHAH/TRIP4/ETS2/ARID1A/NCOR2/NCOR1/FLT3/KDM3A/NKX3-1/CNOT1/ARID5A/LATS1/CTNNB1/SMARCA4/JUND/DAXX/BRD8/STRN/MED30/WBP2/PAGR1/GTF2H1/TMF1/VDR/DDX5/JMJD1C/RARG/ACTN4/NR4A3/TOB2/SLC30A9/ASXL1/HIF1A/TAF1/SMAD3/PPARG/KDM1A/TAF10/ZNF366/NCOA7/HMGA1/WIPI1/TRIM68/FKBP4/NSD1",59
"MF","GO:0003724","RNA helicase activity","37/4553","75/18706",0.493333333333333,2.02685994582327,5.05390635783471,2.34515359588976e-06,0.000199807086369807,0.000199807086369807,"DHX40/MTREX/DDX3X/DDX6/SUPV3L1/DDX41/DHX15/DDX39B/DDX31/DDX24/HELZ2/DHX34/UPF1/DDX1/DDX21/DDX59/DHX32/DDX50/DHX29/DDX39A/DDX55/DDX10/DDX19B/DDX5/FANCM/SETX/MOV10/DHX57/DDX28/DHX37/HELZ/DDX42/DHX8/DDX23/DHX33/DHX38/DDX46",37
"MF","GO:0004540","RNA nuclease activity","54/4553","127/18706",0.425196850393701,1.74692121314838,4.79036841433002,4.84193500349926e-06,0.000375805773027672,0.000375805773027672,"ZC3H12A/RNASE1/CPSF3/SUPV3L1/POP7/ENDOV/AGO4/RPP40/ERI2/DIS3L/DICER1/NUDT16/EXD2/TSNAX/DCPS/HELZ2/APEX1/ISG20/AGO3/EXOSC3/PDE12/SAMHD1/CNOT1/RNASET2/EXOSC5/RCL1/RNASEL/CNOT8/SLFN12/NYNRIN/USB1/CNOT6/MBLAC1/DCP2/PARN/POP1/KHNYN/AGO2/PLD3/RPP25/MARF1/PPP1R8/DBR1/ANKZF1/NOB1/TSEN2/INTS11/RPP38/ERI1/NOCT/POP5/ERN1/PLD6/PIWIL2",54
"MF","GO:0140566","histone reader activity","51/4553","118/18706",0.432203389830508,1.77570757965506,4.79431025207605,4.99898133135401e-06,0.000375805773027672,0.000375805773027672,"MTF2/MLLT10/NCAPD3/MBTD1/ATRX/BRD3/CBX1/ZMYND11/BRD9/PHF19/STK38/BRD2/DPF2/BRD7/MECP2/RRP8/BRPF3/SUV39H2/MPHOSPH8/JARID2/SUZ12/PWWP2A/L3MBTL2/JADE1/CHD1/LRWD1/PHF1/CHD8/ING5/SPIN4/MORC3/CBX8/SETDB1/MSL3/ING3/CDYL2/PHF8/CXXC1/TNF/BRCA1/H1-2/PHF13/YEATS4/YEATS2/JADE2/ING1/TAF1/PHF14/BRD1/MDC1/ING4",51
"MF","GO:0003713","transcription coactivator activity","106/4553","298/18706",0.355704697986577,1.46141271261518,4.55405019486694,8.05893030687905e-06,0.000572184051788413,0.000572184051788413,"TAF9/RELA/APBB1/KAT6B/BCL3/TADA2A/ATXN7L3/TRIM5/KAT5/TRIM8/DOT1L/PKM/MED20/SRA1/TRIM37/ZMIZ2/UTF1/NCOA6/FUS/PRMT2/TGFB1I1/RNF14/COPS5/TRIM25/ZMIZ1/PML/TRIM21/HMGB2/BRD7/TRIP4/MED13L/ARID1A/HELZ2/APEX1/NCOA4/NUP98/NOTCH4/CDCA4/ATN1/NPAT/NOTCH1/TAF12/JADE1/SUPT7L/HCFC1/CTNNB1/BCL10/TRIM27/SMARCA4/XPC/PPRC1/HCFC2/DAXX/BRD8/ARID5B/TRIM62/MED30/NFKBIB/WBP2/PSIP1/ARID1B/MED6/PDLIM1/CNOT6/LDB1/SMARCC2/USP16/TMF1/NIBAN2/TRIP11/SERTAD1/RNF20/PER2/SMARCA2/SSBP4/BRCA1/TRIM13/RBM14/SETD3/ACTN4/USP22/DAZAP2/ACTL6A/FIZ1/DYRK1A/SLC30A9/ASXL1/SUB1/SRCAP/ACTN1/KDM1A/TLE3/IL31RA/MRTFA/USP21/NCOA7/SMARCD2/HMGA1/MTA1/LPIN1/CCAR1/ING4/CRTC2/CITED2/RAP2C/SMARCD1",106
"MF","GO:0043130","ubiquitin binding","45/4553","102/18706",0.441176470588235,1.81257348096278,4.66727072854919,9.24097071434212e-06,0.000621576872259433,0.000621576872259433,"DDI2/FBXO7/SPRTN/GGA2/MAP3K7/TAB3/RNF8/STAM2/UBXN11/UBXN1/BUB3/SIRT2/NSFL1C/TNFAIP3/HDAC6/IKBKG/SQSTM1/HGS/JARID2/DNAJB2/VPS36/HSPB1/CUEDC1/DNAAF10/TOM1/UBAP1/UBXN2B/FAF2/OTUB1/FBXW7/RAD23A/USP16/EPS15/GGA1/UEVLD/RNF19B/NBR1/SMAD3/AUP1/SHARPIN/RNF185/SMARCAD1/ZFAND2B/FAAP20/UBXN10",45
"MF","GO:0140101","catalytic activity, acting on a tRNA","62/4553","155/18706",0.4,1.64339995607292,4.56211933604138,1.09466746975567e-05,0.000699492513173874,0.000699492513173874,"EARS2/SARS1/YARS2/TRMO/LARS1/FARSA/DARS2/DUS2/PTRH2/DTWD1/METTL8/LRRC47/POP7/NARS1/MRPL58/ETF1/RPP40/QRSL1/TRMT61B/ADARB1/METTL2B/ELP3/ATE1/OSGEPL1/EPRS1/IARS2/GATC/TARS2/DARS1/PUS7/TRMT1L/TRMT13/MTFMT/GATB/THUMPD3/DUS1L/DTD2/POP1/RARS2/DUS3L/NSUN6/MARS2/TRUB1/RPP25/ANKZF1/WARS2/AARS1/TSEN2/RPP38/FTO/TARS1/IARS1/PUS3/MTO1/TRIT1/PARS2/TRMT2B/POP5/TRUB2/METTL1/GGT1/TRMT61A",62
"MF","GO:0032182","ubiquitin-like protein binding","51/4553","122/18706",0.418032786885246,1.71748765901063,4.5094978116665,1.55121998257994e-05,0.000943402323737584,0.000943402323737584,"DDI2/FBXO7/SPRTN/GGA2/MAP3K7/TAB3/RNF8/STAM2/UBXN11/UBXN1/BUB3/SIRT2/NSFL1C/TNFAIP3/HDAC6/PML/IKBKG/SQSTM1/HGS/JARID2/DNAJB2/VPS36/HSPB1/CUEDC1/SERBP1/DNAAF10/TOM1/UBAP1/UBXN2B/FAF2/OTUB1/RNF111/FBXW7/RAD23A/USP16/EPS15/GGA1/UEVLD/RNF19B/DCUN1D3/NBR1/SMAD3/AUP1/SHARPIN/RNF185/SMARCAD1/CASP8AP2/ZFAND2B/FAAP20/HERC2/UBXN10",51
"MF","GO:0140097","catalytic activity, acting on DNA","95/4553","265/18706",0.358490566037736,1.47285845119743,4.39708930798298,1.62401025995515e-05,0.000943402323737584,0.000943402323737584,"RBBP4/PMS2/CHRAC1/POLD3/TOP3A/DDX3X/PTGES3/POLA1/PDS5A/ATRX/SUPV3L1/PCNA/ENDOV/MCM3/RAD51D/AEN/HELQ/TERF1/DFFB/XRCC5/DICER1/PMS1/WRNIP1/EXD2/FBH1/DCLRE1B/ARID1A/MSH2/APEX1/ISG20/POLM/MSH3/UPF1/TERF2/DDX1/MRE11/MAU2/MGME1/CECR2/CHD1/HELB/CHD3/RAD54L2/DNASE1/CHD8/POLK/DNASE1L1/SMARCA4/DAXX/ALKBH4/ALKBH3/TATDN1/APEX2/TOP1/NTHL1/SMARCC2/GEN1/TWNK/SMARCAL1/BPTF/SMARCA2/PRIMPOL/RAD17/FANCM/ERCC3/SETX/NIPBL/PLD3/POLB/CHD2/RFC5/DCLRE1C/RAD50/NEIL1/PIF1/SRCAP/ASTE1/FTO/SMARCAD1/POLI/EME2/SMARCD2/HMGA1/CHD7/MYD88/ATAD5/RECQL4/TP53/ERCC4/DDX12P/TOP2B/POLH/UNG/DNASE2/SMARCD1",95
