"Gene","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"FBXW4P1",17.7351821553919,1.63291328373965,0.330884691509405,4.93499193417123,8.01540722314522e-07,1.49872991662961e-05
"PLA1A",18.020509641024,3.05190069738209,0.619231821762286,4.9285269104818,8.28519242420168e-07,1.54431831204712e-05
"MAP1LC3B2",78.6450868400276,1.95242693604908,0.396252547862196,4.92722872466696,8.34041013798139e-07,1.55298785011808e-05
"CEBPB-AS1",35.2689049783537,1.38915791054083,0.282153889822323,4.92340513687619,8.5051115526233e-07,1.57707047687832e-05
"HRH1",9.62587878438154,3.55153294003002,0.723177711028452,4.91100995767593,9.06084861240682e-07,1.6697047267367e-05
"ATP2B1-AS1",3306.49258792423,1.84334158378578,0.37638068398301,4.89754565584718,9.70410918543604e-07,1.76454535830589e-05
"ZKSCAN7",14.9313406869137,-1.93718659020397,0.395592897580881,-4.89691954039166,9.73506746948873e-07,1.76837203177943e-05
"RIPOR3",81.3139131654761,1.64590319660061,0.336133880329869,4.89657036352714,9.75237379623917e-07,1.76971356843657e-05
"IL10RB",85.8156713143901,1.19738779282174,0.24457560238853,4.89577775186089,9.79176816253501e-07,1.77156821918632e-05
"OSR2",59.8494916953936,3.20060680601311,0.654628907519581,4.88919259331268,1.01250400282789e-06,1.82804113385059e-05
"EGLN2",424.618787439458,1.29139216786022,0.264321713067856,4.88568325648182,1.03070785623455e-06,1.85714815550625e-05
"CXCL8",35658.8353651899,2.97038696097677,0.60813256665767,4.88443988011064,1.03723283679766e-06,1.86701910623579e-05
"MAPK13",249.484653483794,1.4952349773076,0.306312121773761,4.88140974849166,1.05330126925727e-06,1.88642450210956e-05
"CCL3",343.158996596406,3.24871956023686,0.66616618754993,4.87674040044755,1.07853224885056e-06,1.92581163713677e-05
"ADNP2",804.032864941579,1.14355209370255,0.23450606138711,4.87642872400995,1.08023695221016e-06,1.92692667535248e-05
"TRIB1",6868.54631364599,1.30452035781622,0.26776806127423,4.87182956626116,1.10569533290028e-06,1.96644001478317e-05
"MAPK6-DT",5.79162722945509,4.02823269344341,0.827554921250994,4.86763185137493,1.12943476806633e-06,2.00068097246944e-05
"ALDH1A2",15.8808115845552,2.26491607972503,0.4653295435304,4.86733780653896,1.13111594144116e-06,2.00089614347586e-05
"RNF19B",3988.70994806533,1.67215293972816,0.343554125092762,4.86721834376655,1.13179964613025e-06,2.00089614347586e-05
"ULBP2",7.31876261367528,4.16659485350083,0.856104334396151,4.86692414241743,1.13348510383092e-06,2.00189181011248e-05
"PCGF6",76.0825494987689,-1.10374122661873,0.226837485094718,-4.8657796843315,1.1400646199751e-06,2.01152054313708e-05
"MIR4734",12.6994591670389,3.69854951454344,0.761299308528322,4.85820684862194,1.18453625782519e-06,2.07970056762655e-05
"RMI1",81.881204592249,-1.22918449731703,0.253062537556452,-4.85723611715079,1.19035617303117e-06,2.08582106529848e-05
"FAM83G",37.2745364601216,2.59552760295327,0.534677306325148,4.85438146008553,1.20763080550982e-06,2.10986467274085e-05
"ADM",622.54233964881,1.45332489472925,0.300005379225637,4.84432945329354,1.27039985577413e-06,2.19587137861423e-05
"CAPN10-DT",25.241322254982,1.42565528977352,0.294544484990496,4.84020364468723,1.29706146001632e-06,2.23978531691879e-05
"ETS2",5936.64376958441,1.400213839561,0.289313957724214,4.83977285636436,1.29987610969664e-06,2.24247485926196e-05
"POP1",57.473508078512,-1.04090470298885,0.215421994903191,-4.83193326408765,1.35213583201701e-06,2.32140509831757e-05
"LINC01353",46.9469647605562,1.95825108927439,0.405519157154465,4.82899772976319,1.37221972711721e-06,2.35135979753284e-05
"PLIN4",71.2499899920182,1.39063361575202,0.288057591610449,4.82762355950204,1.38171960764863e-06,2.36536606153899e-05
"ZFR2",5.01924751299823,3.67475652970191,0.761358405646832,4.82657904929798,1.38898276614562e-06,2.37552009419995e-05
"TNNT3",53.3538357866402,2.04792176845733,0.42464873383951,4.82262539662091,1.41680902921304e-06,2.41154956708991e-05
"ZNFX1",2490.29498421123,1.04398990668135,0.216605157295895,4.81978323930304,1.43714282943843e-06,2.44382781616041e-05
"TNFRSF18",20.1207401643486,3.89371867230425,0.809186747253572,4.81189130385509,1.49508664775809e-06,2.53315855709739e-05
"TNFAIP8L2",375.498225089826,-1.37728978366794,0.286259778775048,-4.81132833107602,1.49930481604375e-06,2.53413941013396e-05
"TGM2",151.481192426163,1.33831077008832,0.278289744617262,4.80905529569166,1.51645257414942e-06,2.55917511993163e-05
"LINC02728",22.5649012339775,2.37389280533867,0.493684507027088,4.80852198428097,1.520503095536e-06,2.56358546485549e-05
"RIPK2",2475.90550806721,1.68997714513021,0.351627197349127,4.80616163331715,1.53855528587989e-06,2.57939372082007e-05
"CHD1",3095.81509709627,1.028984052552,0.214308792235984,4.80140848080066,1.57553511611443e-06,2.63396395513114e-05
"SYN1",29.861931850144,2.16955424682244,0.452509066652571,4.79449895417938,1.63081915283409e-06,2.71620467303963e-05
"ATP2B1",4945.72731786892,1.61673871552438,0.337499213727914,4.79034809493739,1.66492226736483e-06,2.76525916250035e-05
"LINC01629",4.28533947100194,5.55712077761204,1.16034696824565,4.78918886306393,1.67456820639037e-06,2.77869280610153e-05
"PPP1R15A",40713.6982062148,1.86631962261527,0.389927160501426,4.78632886258879,1.69859647518344e-06,2.80551517817798e-05
"ANKRD9",148.743503028489,1.3925193077465,0.290999291419817,4.78530136947153,1.70730958681541e-06,2.8120949593364e-05
"CD80",17.2847490901174,2.34980724020717,0.491036875513805,4.78539872947101,1.70648213811715e-06,2.8120949593364e-05
"ZBTB16",641.683894418702,-1.36089826712454,0.284603878295541,-4.7817277658857,1.73794937812509e-06,2.85992075710289e-05
"CXCL1",501.125726692883,2.80600886149496,0.587268476380472,4.77806825046921,1.76987310909212e-06,2.90174600367511e-05
"UPP1",3165.01489662747,1.15689931113159,0.242273198149691,4.77518487380015,1.79542236434244e-06,2.93554025070032e-05
"SOCS1",11.7855068191846,1.90169509298545,0.398440644806104,4.77284413067568,1.81642368658896e-06,2.95902883300218e-05
"TNFAIP6",141.673650604722,2.74850145904366,0.576107208291455,4.77081595141782,1.83481135858099e-06,2.98625593196786e-05
"TLR5",635.808026528385,-1.10085545232676,0.230818254042456,-4.76936045155367,1.84811715540113e-06,3.00503620730878e-05
"FGF9",10.209921525334,2.78660530420541,0.584585484871067,4.76680549948997,1.87169838283826e-06,3.03245737993359e-05
"IER3-AS1",2.44132116014899,4.06902291805761,0.854049270227185,4.76438896432194,1.89426791280631e-06,3.06068396998541e-05
"C6ORF223",19.2967099053893,4.45103955461161,0.934222561791475,4.76443166398834,1.89386685422938e-06,3.06068396998541e-05
"CT75",11.9769271343503,3.64857072749538,0.766030281730424,4.76295887318376,1.90774734020824e-06,3.07967394159588e-05
"SYNPO2",41.3821759248434,3.17634612510112,0.666912517281404,4.76276279541004,1.90960265370528e-06,3.07988174835396e-05
"C3AR1",1445.02175087211,1.20041303065541,0.252128112556671,4.7611232975283,1.92518378842134e-06,3.10220672248057e-05
"SERTAD1",977.044813204891,1.86689986631783,0.392683187351271,4.75421389673049,1.99220035960172e-06,3.19002423829223e-05
"EHD4-AS1",15.8099073627536,2.11966486407636,0.445978627732795,4.75283955837081,2.00579512950045e-06,3.20316683258989e-05
"REC8",752.22706449429,1.24272147641705,0.261865774066572,4.74564299533518,2.07845018123014e-06,3.2926637950962e-05
"MARS2",63.539179747698,-1.12412845087194,0.237157780837487,-4.7400024022077,2.1371568511816e-06,3.35961934569922e-05
"SERPINE1",48.8292223713372,3.77610878003352,0.798131317150749,4.73118733583073,2.23210410735055e-06,3.48959448439255e-05
"LINC01973",6.00809997387075,3.14926639532235,0.666002364675148,4.72861143197059,2.26060545890952e-06,3.52488463077168e-05
"CD7",326.227419949301,1.07341585188576,0.227049763098515,4.7276677906949,2.2711336730652e-06,3.53820807512113e-05
"LINC01215",41.3705979406522,2.14774463026436,0.454498048809109,4.72553102459285,2.29514788463455e-06,3.56629013907857e-05
"PKP2",77.6395211627856,-1.21397321626728,0.257307683433746,-4.71798276703955,2.38194665163675e-06,3.68829551839378e-05
"SLC35E4",120.516637926426,1.79301359288824,0.38016291955883,4.71643471953811,2.40013328009353e-06,3.7132330832878e-05
"MCM3",333.224687978062,-1.01880548428372,0.216162733895969,-4.71314118729657,2.4392706082543e-06,3.75424582485248e-05
"GJB2",41.216449634286,4.77434182833504,1.01419555551299,4.70751602329804,2.50753576300897e-06,3.84273392960085e-05
"TEX45",10.2199673243471,2.02065269834535,0.429385132480425,4.70592143391799,2.52721840465159e-06,3.86957269546568e-05
"CST6",6.08783873787045,2.70395461650705,0.574955838182995,4.70289096472561,2.56503416301869e-06,3.91403587681159e-05
"PRR33",1112.55161002915,1.40112722283916,0.297989252309468,4.70193878463796,2.57702767795454e-06,3.92562081292511e-05
"CDKN1A",8329.71103929831,1.78077770208019,0.379917698692919,4.68727229135899,2.76870487867872e-06,4.18543708693822e-05
"SLC22A4",333.26588945689,1.00759768665315,0.215279992301747,4.68040562376485,2.86307887504653e-06,4.30257800952653e-05
"MYC",377.702334956744,1.71069407972604,0.365589815174976,4.67927171031086,2.87895712481196e-06,4.32279774346766e-05
"IFI6",1773.54232033782,1.27765953698739,0.273113836504174,4.67812086469616,2.89515885230771e-06,4.3361749460508e-05
"LINC02688",2.10678858233894,4.058795320091,0.867800652500727,4.6771056329525,2.90952398823167e-06,4.35049714746506e-05
"EPHB4",134.893788387555,-1.20398513474391,0.257434624749348,-4.67685780774895,2.91304098926308e-06,4.35199540757746e-05
"MED20",116.216856674795,-1.04074888586357,0.222583837546806,-4.6757612652119,2.92865153807957e-06,4.37165574362036e-05
"PSD",80.695129744064,1.44990718026626,0.310565808764613,4.66859885843128,3.03260845255552e-06,4.51549829521581e-05
"HIC1",181.201558777686,2.15112564304798,0.4615735882415,4.66041753221479,3.15568580143006e-06,4.66758899883163e-05
"P3H3",24.4899391242878,1.24093203561581,0.266304939747018,4.65981606197265,3.16492076823145e-06,4.67737006327361e-05
"XCR1",11.0329328152431,5.27922038435263,1.13376298832882,4.65637036902594,3.21832757856887e-06,4.74450639227367e-05
"C13ORF46",34.1792334911453,1.46816984186268,0.315435434326119,4.65442268716326,3.24889711381993e-06,4.77673266538459e-05
"LRIF1",55.2423214062822,-1.19033514504929,0.256053744371646,-4.64877070230064,3.33919170457678e-06,4.89437153872149e-05
"MIR6775",3.84478131834939,3.49183689691273,0.751400534841127,4.64710461997611,3.36626463345898e-06,4.92192037144601e-05
"SPACA6",33.1422255693117,1.51112825947646,0.325300394190276,4.64533178091559,3.39530341899967e-06,4.95625387791458e-05
