"category","subcategory","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"Human Diseases","Immune disease","hsa05320","Autoimmune thyroid disease","13/2256","54/9382",0.240740740740741,1.00116561597058,0.00483313923983798,0.550730434031854,0.81909484044568,0.81909484044568,"CD80/CD40/TG/HLA-B/HLA-DPA1/HLA-E/HLA-A/HLA-DMA/HLA-C/HLA-DPB1/HLA-DRA/HLA-F/IL10",13
"Organismal Systems","Nervous system","hsa04720","Long-term potentiation","16/2256","67/9382",0.238805970149254,0.993119508838785,-0.0318006955941047,0.560005500809296,0.829375235375793,0.829375235375793,"ARAF/PRKACB/RPS6KA1/NRAS/CALM2/PPP1CB/ITPR2/MAPK1/CALM3/ITPR1/RAF1/PPP3CB/PPP1CC/ATF4/RPS6KA3/GRIN2C",16
"Environmental Information Processing","Signal transduction","hsa04392","Hippo signaling pathway - multiple species","7/2256","29/9382",0.241379310344828,1.00382122768403,0.0115957182350668,0.566885730814593,0.836037359310598,0.836037359310598,"RASSF1/STK3/PAK1/SAV1/FRMD6/CSNK1E/LATS1",7
"Metabolism","Nucleotide metabolism","hsa00240","Pyrimidine metabolism","14/2256","59/9382",0.23728813559322,0.986807308570742,-0.0571943034131517,0.573121889371873,0.839381499061469,0.839381499061469,"UPB1/DHODH/RRM2/TYMP/ENTPD1/UPP1/CAD/TK1/CMPK2/NME6/ENTPD4/DCK/NUDT2/HDDC2",14
"Organismal Systems","Endocrine system","hsa03320","PPAR signaling pathway","18/2256","76/9382",0.236842105263158,0.984952407614782,-0.0741077276932984,0.573936067734338,0.839381499061469,0.839381499061469,"RXRB/FABP5/OLR1/PPARD/PPARA/ACADM/PLIN5/SLC27A1/APOA2/ACSL1/PLIN4/EHHADH/HMGCS1/PPARG/DBI/ACOX1/ACAA1/PLIN2",18
"Metabolism","Metabolism of cofactors and vitamins","hsa00130","Ubiquinone and other terpenoid-quinone biosynthesis","3/2256","12/9382",0.25,1.0396719858156,0.0773706016817857,0.579340563893338,0.840283214572568,0.840283214572568,"COQ5/GGCX/VKORC1L1",3
"Genetic Information Processing","Information processing in viruses","hsa03265","Virion - Ebolavirus, Lyssavirus and Morbillivirus","3/2256","12/9382",0.25,1.0396719858156,0.0773706016817857,0.579340563893338,0.840283214572568,0.840283214572568,"SLAMF1/NECTIN4/FCGR2B",3
"Cellular Processes","Cell motility","hsa04820","Cytoskeleton in muscle cells","55/2256","233/9382",0.236051502145923,0.98166453596323,-0.159460917640175,0.588968102669325,0.849919814152932,0.849919814152932,"AMPD2/PLEC/FHL1/TPM4/DAG1/PDLIM7/SYNPO2/ITGA3/ITGB8/TMOD3/TMOD4/PKP2/LBR/CAPZB/ACTB/TLN2/SPTBN5/ITGA7/MYL5/SYNE1/TNNI2/LMNA/EMD/FMNL1/PDLIM1/SDC4/MYBPC3/SPTAN1/TCAP/MYOM1/SDC2/ATP1A1/DAAM2/VIM/ACTG1/VCL/AGRN/SYNE3/MYH10/DAAM1/ZYX/LAMA2/TPM3/ATP1B1/SUN2/SNTB2/TPM2/ITGB7/THBS1/TNNT3/ENO1/TMOD2/NEB/ATP1B3/MYL9",55
"Metabolism","Glycan biosynthesis and metabolism","hsa00532","Glycosaminoglycan biosynthesis - chondroitin sulfate / dermatan sulfate","5/2256","21/9382",0.238095238095238,0.99016379601486,-0.0253890971861102,0.593832970456281,0.849919814152932,0.849919814152932,"CHST7/CHST11/CHSY1/DSEL/DSE",5
"Genetic Information Processing","Transcription","hsa03020","RNA polymerase","8/2256","34/9382",0.235294117647059,0.978514810179391,-0.0706139504192182,0.594073153930099,0.849919814152932,0.849919814152932,"POLR3B/POLR3A/POLR1B/POLR3K/POLR2J2/POLR2D/POLR1F/POLR2H",8
