"category","subcategory","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"Human Diseases","Cancer: overview","hsa05207","Chemical carcinogenesis - receptor activation","46/2256","217/9382",0.211981566820276,0.881565186129359,-0.993148568060277,0.859035533913428,1,1,"RXRB/RELA/PTGES3/BCL2/PPARA/SOS2/VEGFA/ADCY3/PRKACB/E2F1/RPS6KB2/RB1/RPS6KA1/CCND1/PAQR8/HSP90B1/NRAS/AKT2/NR1I3/MYC/CREB1/JAG1/GNAI3/FGF9/FOS/MTOR/BCL6/IKBKE/MAPK1/AHR/KPNA4/VDR/ARRB2/KPNA2/SOS1/AKT1/SRC/DLL1/RAF1/HSP90AA1/CACNA1A/KLF5/ATF4/ATF2/RPS6KB1/RPS6KA3",46
"Metabolism","Amino acid metabolism","hsa00270","Cysteine and methionine metabolism","10/2256","54/9382",0.185185185185185,0.770127396900447,-0.953149516003016,0.868974453131767,1,1,"AHCYL2/GOT2/SDSL/SDS/KYAT3/MAT2B/AHCYL1/MTR/IL4I1/GOT1",10
"Organismal Systems","Endocrine system","hsa04916","Melanogenesis","20/2256","101/9382",0.198019801980198,0.82350256302226,-1.003397258973,0.870078533358957,1,1,"DVL1/ADCY3/PRKACB/FZD2/NRAS/WNT5A/CALM2/TCF7L1/EDN1/CREB1/CTNNB1/GNAI3/FZD7/DVL3/EDNRB/MAPK1/CALM3/RAF1/FZD4/WNT5B",20
"Metabolism","Metabolism of other amino acids","hsa00480","Glutathione metabolism","11/2256","59/9382",0.186440677966102,0.775348599591297,-0.973931697414611,0.872015308175992,1,1,"RRM2/GPX1/ODC1/LANCL1/GSR/GPX3/G6PD/IDH1/GSTK1/GPX4/GGT1",11
"Cellular Processes","Cell motility","hsa04814","Motor proteins","40/2256","194/9382",0.206185567010309,0.857461431600497,-1.12874014346875,0.889008820501846,1,1,"MYO9A/TPM4/DNAH17/TUBB2A/TUBB6/MYO1G/DYNLT1/CAPZB/KIFC3/ACTB/HOOK3/DYNC1H1/MYL5/DYNLT4/TNNI2/KIF2A/ACTR10/TUBA4A/KIFC2/TUBB4B/DYNLT3/MYO9B/DYNC1LI1/MYO1C/TUBA1C/DCTN6/TUBD1/MYO15B/KIF16B/ACTG1/KIF23/MYH10/DNAI2/TPM3/TPM2/DYNC1I2/TNNT3/KIF11/DYNLL1/MYL9",40
"Genetic Information Processing","Translation","hsa03008","Ribosome biogenesis in eukaryotes","37/2256","183/9382",0.202185792349727,0.840827616943766,-1.22347235433349,0.90704030555664,1,1,"NVL/POP7/RPP40/TCOF1/RBM28/UTP15/UTP6/AK6/NXT1/EMG1/MDN1/RCL1/NXF1/SNORD3C/GTPBP4/IMP3/WDR3/BMS1/FCF1/XPO1/POP1/RPP25L/SNORD3B-2/NOP56/RPP25/NMD3/NOB1/RPP38/RIOK2/SNORD3A/MPHOSPH10/CSNK2A1/REXO1/SBDS/POP5/UTP18/EFL1",37
"Organismal Systems","Endocrine system","hsa04913","Ovarian steroidogenesis","9/2256","52/9382",0.173076923076923,0.719772913256956,-1.14009795964311,0.907854320998122,1,1,"IGF1R/ADCY3/PRKACB/ACOT2/HSD17B7/BMP6/PTGS2/ALOX5/LDLR",9
"Metabolism","Glycan biosynthesis and metabolism","hsa00510","N-Glycan biosynthesis","10/2256","57/9382",0.175438596491228,0.729594376010949,-1.15212588525297,0.908480059024908,1,1,"MAN1C1/B4GALT1/MAN2A2/STT3A/MGAT4B/B4GALT3/DPAGT1/OSTC/ST6GAL1/ALG2",10
"Metabolism","Carbohydrate metabolism","hsa00040","Pentose and glucuronate interconversions","6/2256","37/9382",0.162162162162162,0.674381828637148,-1.11658309616082,0.910034190176178,1,1,"GUSB/RPE/UGP2/SORD/KL/UGDH",6
"Human Diseases","Immune disease","hsa05322","Systemic lupus erythematosus","28/2256","143/9382",0.195804195804196,0.814288548331102,-1.25911508361663,0.915266276059633,1,1,"H2AJ/CD80/CD40/TRIM21/C2/SNRPD3/C1QC/HLA-DPA1/H2AZ2/H2AC6/H3-3B/HLA-DMA/FCGR1A/H2BC21/SNRPB/HLA-DPB1/HLA-DRA/H3-3A/H2BC18/TNF/IL10/C1QA/ACTN4/ACTN1/H2BC4/H2BC12/FCGR3B/MACROH2A1",28
"Organismal Systems","Circulatory system","hsa04270","Vascular smooth muscle contraction","26/2256","134/9382",0.194029850746269,0.806909600931513,-1.26666093116609,0.917110924140555,1,1,"ARAF/ADCY3/PRKACB/ADM/ARHGEF1/ADORA2A/PLA2G6/CALM2/PPP1CB/EDN1/ROCK2/ITPR2/GNA13/MAPK1/PPP1R12C/CALM3/ITPR1/ADORA2B/PPP1R12A/RHOA/MYH10/RAF1/GNA12/PPP1CC/PRKCD/MYL9",26
"Human Diseases","Infectious disease: viral","hsa05171","Coronavirus disease","49/2256","239/9382",0.205020920502092,0.852618030208611,-1.29858431786239,0.917410697015984,1,1,"RELA/MAP3K7/CCL2/CSF3/RPS2/CSF2/CGAS/MAPK11/MAPK13/IKBKB/IKBKG/C2/ACE/SYK/C1QC/C3AR1/NLRP3/RPL28/STAT2/ADAM17/RPS15/MAPK14/FOS/IL1B/TYK2/NFKBIB/MX2/RPS19/IRAK4/HBEGF/IKBKE/MAPK1/TLR2/TNF/RPL36AL/RPL13/C1QA/IRAK1/IRF9/CXCL8/TLR8/C5AR1/MAPK12/TLR4/NFKBIA/UBA52/MYD88/IFNB1/IL6",49
"Organismal Systems","Nervous system","hsa04724","Glutamatergic synapse","22/2256","116/9382",0.189655172413793,0.788716678894595,-1.28830670806485,0.921961529710791,1,1,"GRIN3A/ADCY3/PRKACB/HOMER1/GNB2/SLC1A2/DLG4/LZTS3/GLUL/GNAI3/ITPR2/PLD2/GLS/MAPK1/GRM2/ITPR1/HOMER3/GRK2/PPP3CB/CACNA1A/NCDN/GRIN2C",22
"Environmental Information Processing","Signaling molecules and interaction","hsa04512","ECM-receptor interaction","16/2256","89/9382",0.179775280898876,0.747629293170771,-1.34594460325572,0.933243761450432,1,1,"SPP1/TNXB/DAG1/ITGA3/LAMB2/ITGB8/VTN/ITGA7/SDC4/AGRN/LAMA2/GP1BA/ITGB7/LAMB1/LAMB3/THBS1",16
"Organismal Systems","Endocrine system","hsa04927","Cortisol synthesis and secretion","11/2256","65/9382",0.169230769230769,0.703777959629023,-1.34836417841296,0.937300064412344,1,1,"ADCY3/PRKACB/NR4A1/CREB1/ITPR2/SP1/ITPR1/CACNA1G/LDLR/ATF4/ATF2",11
"Organismal Systems","Endocrine system","hsa04929","GnRH secretion","11/2256","65/9382",0.169230769230769,0.703777959629023,-1.34836417841296,0.937300064412344,1,1,"SPP1/NRAS/AKT2/ITPR2/MAPK1/ITPR1/ARRB2/AKT1/RAF1/CACNA1G/GABBR1",11
"Metabolism","Lipid metabolism","hsa00120","Primary bile acid biosynthesis","2/2256","17/9382",0.117647058823529,0.489257405089695,-1.1858884933126,0.940688380478787,1,1,"HSD3B7/HSD17B4",2
"Metabolism","Lipid metabolism","hsa00565","Ether lipid metabolism","8/2256","51/9382",0.156862745098039,0.652343206786261,-1.40069287623321,0.947197537363618,1,1,"PLA2G6/PLD2/PAFAH2/PLPP3/PLD3/LPCAT1/AGPS/CEPT1",8
"Human Diseases","Cancer: overview","hsa05206","MicroRNAs in cancer","66/2256","323/9382",0.204334365325077,0.849762861471576,-1.54600053985306,0.948577382042171,1,1,"BMPR2/HDAC2/RASSF1/ZEB2/RECK/PIM1/BCL2/SOS2/VEGFA/MIR221/EZR/TRIM71/TNXB/ABCC1/MET/SHC1/PDGFB/E2F1/PTEN/CCND1/DICER1/HNRNPK/IKBKB/HDAC4/DDIT4/NRAS/MYC/CDC25B/NOTCH4/EZH2/NOTCH1/BCL2L2/PLAU/MCL1/EFNA4/CCND2/SLC7A1/APC/MTOR/SPRY2/CDKN1A/GLS/CDKN2A/PTGS2/MAPK1/CDKN1B/SOCS1/BRCA1/ATM/SOS1/MAPK7/MMP9/ZEB1/VIM/RHOA/FSCN1/KIF23/RAF1/PDGFA/SOX4/RDX/CDK6/THBS1/TP53/CRKL/MARCKS",66
"Human Diseases","Substance dependence","hsa05034","Alcoholism","37/2256","191/9382",0.193717277486911,0.805609706286436,-1.5271478432608,0.949365446254052,1,1,"H2AJ/HDAC2/GRIN3A/SOS2/ARAF/SHC1/PRKACB/HDAC6/HDAC4/HDAC8/NRAS/ADORA2A/GNB2/CALM2/PPP1CB/H2AZ2/CREB1/H2AC6/H3-3B/GNAI3/H2BC21/H3-3A/H2BC18/MAPK1/SLC29A3/CALM3/SOS1/ADORA2B/RAF1/PPP1CC/H2BC4/H2BC12/SLC6A3/MACROH2A1/ATF4/ATF2/GRIN2C",37
"Organismal Systems","Nervous system","hsa04723","Retrograde endocannabinoid signaling","28/2256","149/9382",0.187919463087248,0.781498405445285,-1.51268163298311,0.949429642529352,1,1,"NDUFS2/ADCY3/PRKACB/MAPK11/MAPK13/GNB2/NDUFB5/GNAI3/MAPK14/ITPR2/MT-ND2/NDUFS7/NDUFA8/MT-ND5/PTGS2/MAPK1/NDUFA11/ITPR1/NDUFS1/MT-ND6/NDUFB1/MT-ND4/MAPK12/MT-ND1/CACNA1A/NAPEPLD/MT-ND3/NDUFV3",28
"Environmental Information Processing","Signaling molecules and interaction","hsa04514","Cell adhesion molecule (CAM) interaction","30/2256","160/9382",0.1875,0.779753989361702,-1.58098114208037,0.9560922073206,1,1,"CD80/ICAM1/CD40/JAML/ITGB8/CD22/PDCD1/CD226/HLA-B/HLA-DPA1/HLA-E/HLA-A/HLA-DMA/HLA-C/HLA-DPB1/HLA-DRA/CLDN5/ALCAM/HLA-F/SDC4/CD276/ESAM/SDC2/NECTIN2/NLGN2/L1CAM/NTNG2/ITGB7/MAG/PTPRM",30
"Organismal Systems","Digestive system","hsa04981","Folate transport and metabolism","4/2256","31/9382",0.129032258064516,0.536604895904827,-1.4540336793659,0.960587923408739,1,1,"ABCC1/FPGS/MTR/MTHFR",4
"Metabolism","Amino acid metabolism","hsa00350","Tyrosine metabolism","5/2256","37/9382",0.135135135135135,0.561984857197623,-1.50200556150964,0.962621900109621,1,1,"FAHD1/ADH5/GOT2/IL4I1/GOT1",5
"Genetic Information Processing","Translation","hsa03010","Ribosome","43/2256","223/9382",0.192825112107623,0.801899468880196,-1.6845552074293,0.963702603140377,1,1,"MRPS30/MRPS35/MRPL49/MRPS9/MRPL28/RPS2/MRPS34/MRPL19/MRPL15/MRPS23/MRPL3/MRPL18/MRPL23/MT-RNR2/MRPL44/MRPL35/MRPL42/RPL28/RPS15/MRPS31/MRPS18B/MRPL34/MRPL16/MRPL14/RPS19/MRPS6/MRPS26/MT-RNR1/MRPL54/MRPL30/MRPL41/RPL36AL/MRPS24/MRPL32/MRPS14/RPL13/MRPL10/MRPS5/UBA52/MRPS16/MRPS11/MRPL17/MRPS27",43
"Organismal Systems","Digestive system","hsa04975","Fat digestion and absorption","6/2256","43/9382",0.13953488372093,0.580282038594755,-1.55207535000228,0.96525248556859,1,1,"GOT2/SLC27A1/DGAT1/PLPP3/ABCA1/DGAT2",6
"Metabolism","Lipid metabolism","hsa00592","alpha-Linolenic acid metabolism","3/2256","26/9382",0.115384615384615,0.479848608837971,-1.49431631598294,0.967397628378953,1,1,"PLA2G6/ACOX1/ACAA1",3
"Human Diseases","Endocrine and metabolic disease","hsa04950","Maturity onset diabetes of the young","3/2256","26/9382",0.115384615384615,0.479848608837971,-1.49431631598294,0.967397628378953,1,1,"MAFA/HHEX/HES1",3
"Environmental Information Processing","Membrane transport","hsa02010","ABC transporters","6/2256","45/9382",0.133333333333333,0.554491725768321,-1.68550311127936,0.975191271478759,1,1,"ABCB4/ABCC1/ABCB7/TAP2/ABCA1/ABCA2",6
"Organismal Systems","Nervous system","hsa04727","GABAergic synapse","14/2256","89/9382",0.157303370786517,0.654175631524424,-1.84435209724629,0.979628666207814,1,1,"SLC6A12/ADCY3/TRAK2/PRKACB/GNB2/GLUL/GNAI3/GABARAPL1/ABAT/GLS/NSF/SRC/GABBR1/CACNA1A",14
"Organismal Systems","Nervous system","hsa04725","Cholinergic synapse","19/2256","115/9382",0.165217391304348,0.687087573234659,-1.89964896795523,0.981184615068698,1,1,"BCL2/ADCY3/PRKACB/PIK3R6/NRAS/AKT2/GNB2/CREB1/GNAI3/ITPR2/FOS/ACHE/MAPK1/ITPR1/KCNJ2/AKT1/PIK3R5/CACNA1A/ATF4",19
"Metabolism","Amino acid metabolism","hsa00260","Glycine, serine and threonine metabolism","5/2256","41/9382",0.121951219512195,0.507157066251514,-1.77940572322347,0.981803158122867,1,1,"PSPH/SDSL/SDS/GLYCTK/BPGM",5
"Human Diseases","Substance dependence","hsa05032","Morphine addiction","14/2256","91/9382",0.153846153846154,0.639798145117294,-1.94270392523275,0.984352325336472,1,1,"PDE2A/ADCY3/PRKACB/GRK6/GNB2/PDE1B/GNAI3/PDE4B/ARRB2/PDE4A/GRK2/PDE4D/GABBR1/CACNA1A",14
"Organismal Systems","Endocrine system","hsa04923","Regulation of lipolysis in adipocytes","8/2256","59/9382",0.135593220338983,0.563889890611852,-1.89066909141607,0.984486582235478,1,1,"PNPLA2/ADCY3/PRKACB/AKT2/GNAI3/PTGS2/AKT1/PTGER3",8
"Organismal Systems","Endocrine system","hsa04911","Insulin secretion","13/2256","86/9382",0.151162790697674,0.628638875144318,-1.94656456522575,0.984801533850704,1,1,"SLC2A1/STX1A/ADCY3/PRKACB/CREB1/ATP1A1/FFAR1/FXYD2/VAMP2/ATP1B1/ATF4/ATF2/ATP1B3",13
"Organismal Systems","Digestive system","hsa04972","Pancreatic secretion","16/2256","102/9382",0.156862745098039,0.652343206786261,-1.98631455204086,0.985666455698836,1,1,"CA2/ADCY3/RAB3D/ATP2A2/ATP2B1/ITPR2/ATP2A3/RAC1/ITPR1/ATP1A1/FXYD2/RHOA/ATP2B4/ATP1B1/ATP2A1/ATP1B3",16
"Organismal Systems","Digestive system","hsa04970","Salivary secretion","14/2256","93/9382",0.150537634408602,0.626039045222299,-2.03917481824699,0.988053683117624,1,1,"ADCY3/PRKACB/ATP2B1/CALM2/ITPR2/CALM3/ITPR1/ATP1A1/FXYD2/ATP2B4/CST3/VAMP2/ATP1B1/ATP1B3",14
"Organismal Systems","Digestive system","hsa04977","Vitamin digestion and absorption","2/2256","26/9382",0.0769230769230769,0.319899072558647,-1.95382715428356,0.992819416309251,1,1,"ABCC1/LMBRD1",2
"Organismal Systems","Environmental adaptation","hsa04713","Circadian entrainment","14/2256","97/9382",0.144329896907216,0.600223002120348,-2.22681389233873,0.993157040814029,1,1,"ADCY3/PRKACB/GNB2/CALM2/CREB1/GNAI3/FOS/MAPK1/CALM3/ITPR1/PER2/CACNA1G/PER3/GRIN2C",14
"Environmental Information Processing","Signal transduction","hsa04020","Calcium signaling pathway","45/2256","254/9382",0.177165354330709,0.736775423018931,-2.39291176884116,0.994462850859957,1,1,"GRIN3A/CAMK1G/VEGFA/FGFR1/MET/ADCY3/PRKACB/PDGFB/ATP2A2/MCOLN1/ATP2B1/ADORA2A/HGF/VEGFB/HRH1/CALM2/TFEB/PDE1B/PLCD1/GNA15/FGF9/ITPR2/CACNA1E/SPHK1/VDAC2/ATP2A3/EDNRB/CALM3/PLCD3/PPIF/ITPR1/ADORA2B/VDAC3/ATP2B4/PDGFA/CACNA1G/PPP3CB/CACNA1A/P2RX4/PTGER3/PTAFR/FLT1/HTR7/ATP2A1/GRIN2C",45
"Organismal Systems","Digestive system","hsa04976","Bile secretion","12/2256","90/9382",0.133333333333333,0.554491725768321,-2.38942627583847,0.996144709382553,1,1,"SLC9A3/CA2/SLC2A1/ABCB4/ADCY3/PRKACB/AQP9/ATP1A1/FXYD2/ATP1B1/LDLR/ATP1B3",12
"Organismal Systems","Nervous system","hsa04726","Serotonergic synapse","16/2256","115/9382",0.139130434782609,0.578600061671292,-2.55826195916102,0.997581424253943,1,1,"ARAF/PRKACB/NRAS/GNB2/GNAI3/ITPR2/CYP2D7/ALOX15B/PTGS2/MAPK1/ALOX5/ITPR1/ALOX12/RAF1/CACNA1A/HTR7",16
"Environmental Information Processing","Signaling molecules and interaction","hsa04519","Cadherin signaling","74/2256","404/9382",0.183168316831683,0.76173987079559,-2.75437749727388,0.998068131411861,1,1,"KRT10/KRT17/DVL1/RELA/VAV3/IGF1R/FAT2/APH1A/WASF1/TAOK3/FGFR1/MET/YWHAQ/CSNK1A1/STK3/MAPK11/MAPK13/FZD2/VASP/YWHAH/IKBKB/IKBKG/PKP2/NRAS/MYO1G/WNT5A/TCF7L1/ARPC5L/ACTB/PRICKLE1/ATN1/PPP1CB/LHFPL2/SAV1/ROCK2/LATS1/CTNNB1/MAPK14/APC/FZD7/ARPC1B/AFDN/DVL3/SCN1B/YWHAZ/VAV2/RAC1/MAPK1/RAC2/CTNND1/MYO1C/RRAS2/PRICKLE3/DAAM2/ACTN4/CELSR1/VIM/RHOA/ACTG1/VCL/FMN1/RAF1/MAPK12/DAAM1/ERBIN/ACTN1/TAOK1/NFKBIA/FZD4/PPP1CC/TAOK2/MAP2K3/VAV1/WNT5B",74
"Human Diseases","Substance dependence","hsa05033","Nicotine addiction","3/2256","41/9382",0.0731707317073171,0.304294239750908,-2.51184043981552,0.998803740800135,1,1,"GRIN3A/CACNA1A/GRIN2C",3
"Metabolism","Metabolism of cofactors and vitamins","hsa00830","Retinol metabolism","7/2256","68/9382",0.102941176470588,0.428100229453484,-2.66303864307501,0.99887959686242,1,1,"DHRS3/ADH5/DGAT1/ALDH1A2/RDH11/CYP3A5/CYP2S1",7
"Metabolism","Xenobiotics biodegradation and metabolism","hsa00983","Drug metabolism - other enzymes","9/2256","82/9382",0.109756097560976,0.456441359626362,-2.78152560534969,0.999188990005824,1,1,"UPB1/RRM2/GUSB/TYMP/IMPDH1/UPP1/GMPS/TK1/NME6",9
"Organismal Systems","Digestive system","hsa04974","Protein digestion and absorption","12/2256","103/9382",0.116504854368932,0.484507333195621,-2.95979562012567,0.999535046592589,1,1,"SLC9A3/COL15A1/SLC3A2/KCNE3/COL10A1/ATP1A1/FXYD2/MME/ATP1B1/COL18A1/COL17A1/ATP1B3",12
"Metabolism","Lipid metabolism","hsa00591","Linoleic acid metabolism","1/2256","30/9382",0.0333333333333333,0.13862293144208,-2.65872176466253,0.999742888625634,1,1,"PLA2G6",1
"Human Diseases","Cancer: overview","hsa05204","Chemical carcinogenesis - DNA adducts","6/2256","70/9382",0.0857142857142857,0.35645896656535,-3.04070988928739,0.999792495242448,1,1,"HSD11B1L/SULT1A1/PTGS2/CYP3A5/CBR1/GSTK1",6
"Metabolism","Xenobiotics biodegradation and metabolism","hsa00980","Metabolism of xenobiotics by cytochrome P450","7/2256","79/9382",0.0886075949367089,0.368491336744771,-3.17141119225464,0.99987134572104,1,1,"ADH5/HSD11B1L/CYP2D7/CYP3A5/CBR1/GSTK1/CYP2S1",7
"Organismal Systems","Sensory system","hsa04742","Taste transduction","8/2256","86/9382",0.0930232558139535,0.386854692396503,-3.21392533905976,0.999882749672899,1,1,"PRKACB/PDE1B/TAS1R1/GABBR1/CACNA1A/ENTPD2/P2RY1/TAS1R3",8
"Metabolism","Lipid metabolism","hsa00140","Steroid hormone biosynthesis","4/2256","66/9382",0.0606060606060606,0.252041693531055,-3.43088233706616,0.999978964126103,1,1,"HSD11B1L/HSD17B7/CYP3A5/HSD17B12",4
"Metabolism","Xenobiotics biodegradation and metabolism","hsa00982","Drug metabolism - cytochrome P450","4/2256","73/9382",0.0547945205479452,0.227873311959584,-3.72623023435777,0.999995947999437,1,1,"ADH5/CYP2D7/CYP3A5/GSTK1",4
"Environmental Information Processing","Signaling molecules and interaction","hsa04082","Neuroactive ligand signaling","23/2256","199/9382",0.115577889447236,0.480652375351937,-4.16642532442314,0.999997706545432,1,1,"GRIN3A/SLC6A12/ADCY3/PRKACB/ADORA2A/GNB2/HRH1/SLC1A2/ADORA3/GNAI3/P2RY6/ACHE/P2RY11/GRM2/P2RY13/ADORA2B/GABBR1/P2RX4/SLC6A3/P2RY1/HTR7/ADRA2B/GRIN2C",23
"Environmental Information Processing","Signaling molecules and interaction","hsa04081","Hormone signaling","26/2256","219/9382",0.118721461187215,0.493725509245766,-4.26540689118721,0.999998514392075,1,1,"GHRL/IGF1R/AVPR2/SLC40A1/VIPR1/ADCY3/PRKACB/SMAD4/ADIPOR2/GNB2/SSTR2/THRA/ADIPOR1/GNA15/GNAI3/GNA13/APPL1/SSTR3/HCRTR1/THRB/RHOA/SRC/GNA12/GIPR/HAMP/ADRA2B",26
"Environmental Information Processing","Signaling molecules and interaction","hsa04080","Neuroactive ligand-receptor interaction","53/2256","371/9382",0.142857142857143,0.594098277608916,-4.48841040819935,0.999999207950113,1,1,"VGF/GRIN3A/GHRL/AVPR2/VIPR1/PGRMC2/LPAR3/ADM/FPR2/LPAR6/CHRNA10/LPAR1/ADORA2A/CHRNB1/HRH1/SSTR2/C3AR1/EDN1/ADORA3/FPR1/S1PR3/THRA/P2RY6/P2RY11/EDNRB/LYNX1/SSTR3/GRM2/LTB4R/P2RY13/CHRNE/HCRTR1/ADORA2B/F2RL1/THRB/PTGER4/S1PR1/C5AR1/GABBR1/P2RX4/PGRMC1/GIPR/PTGER3/PTAFR/RXFP2/P2RY1/HTR7/P2RY8/GPR35/LPAR2/ADRA2B/PTGER2/GRIN2C",53
"Organismal Systems","Development and regeneration","hsa04382","Cornified envelope formation","24/2256","217/9382",0.110599078341014,0.459947053632709,-4.52867525039752,0.999999700424148,1,1,"KRT10/KRT17/PPP2R2D/PLEC/SPTLC1/SLC27A1/PKP2/TMEM79/PPP2R3A/PNPLA1/S100A2/S100A11/PPP2CA/UGCG/PPP2CB/PPP2R5D/PPP2R5A/CLDN5/HAL/SPTLC2/COL17A1/FURIN/S100A10/LAMB3",24
"Organismal Systems","Sensory system","hsa04740","Olfactory transduction","10/2256","449/9382",0.022271714922049,0.0926211123221027,-11.086242658102,1,1,1,"PDE2A/OR2B11/ADCY3/PRKACB/CALM2/PDE1B/CALM3/ARRB2/CNGB1/GRK2",10
