"STRING_ID","Degree","Betweenness","gene"
"9606.ENSP00000002596",5,0,"HS3ST1"
"9606.ENSP00000002829",10,782.792167732561,"SEMA3F"
"9606.ENSP00000007722",24,1319.87357320143,"ITGA3"
"9606.ENSP00000009105",2,717.783885080212,"CAMK1G"
"9606.ENSP00000020673",4,1337.22081451658,"PSD"
"9606.ENSP00000070846",9,1772.68402720001,"PKP2"
"9606.ENSP00000075120",9,315.406507228841,"SLC2A3"
"9606.ENSP00000085219",21,1045.15764467019,"CD22"
"9606.ENSP00000155926",7,473.280275126569,"TRIB2"
"9606.ENSP00000164227",9,82.42692244962,"BCL3"
"9606.ENSP00000173229",18,3433.34384770486,"NTN1"
"9606.ENSP00000174618",6,156.109985186919,"MNT"
"9606.ENSP00000192314",1,0,"GAL3ST2"
"9606.ENSP00000200135",7,15.9435331845762,"ZW10"
"9606.ENSP00000200453",13,624.59487036934,"PPP1R15A"
"9606.ENSP00000200652",5,2176.07285707358,"SLC22A4"
"9606.ENSP00000203001",10,2746.13549491877,"TRMT6"
"9606.ENSP00000204604",9,220.311079570459,"CHRD"
"9606.ENSP00000206513",13,658.927433954204,"CEBPE"
"9606.ENSP00000211287",19,694.628987706208,"MAPK13"
"9606.ENSP00000215631",21,268.844553245497,"GADD45B"
"9606.ENSP00000216797",85,4591.5104637509,"NFKBIA"
"9606.ENSP00000217159",2,60.2793313221619,"SLCO4A1"
"9606.ENSP00000217182",13,2993.22627242919,"EEF1A2"
"9606.ENSP00000218388",68,4406.0015484119,"TIMP1"
"9606.ENSP00000219022",9,188.425476798236,"OLFM4"
"9606.ENSP00000219919",14,1363.02779702784,"AQP9"
"9606.ENSP00000220058",3,239.658495525858,"MTFMT"
"9606.ENSP00000220325",3,0,"EHD4"
"9606.ENSP00000220616",13,500.450176033303,"TG"
"9606.ENSP00000220751",21,220.756108336433,"RIPK2"
"9606.ENSP00000221399",3,936,"TULP2"
"9606.ENSP00000221452",44,1348.37561141979,"RELB"
"9606.ENSP00000221847",1,0,"EBI3"
"9606.ENSP00000221922",1,0,"CCDC9"
"9606.ENSP00000222115",4,486.794680568688,"HAS1"
"9606.ENSP00000222399",14,814.556762680318,"LAMB1"
"9606.ENSP00000222553",22,3108.32908918076,"NAMPT"
"9606.ENSP00000222567",10,1994.74586538345,"POLR1F"
"9606.ENSP00000222573",16,260.921863089547,"ITGB8"
"9606.ENSP00000222812",16,2470.76121368499,"STX1A"
"9606.ENSP00000223095",62,2088.99769252423,"SERPINE1"
"9606.ENSP00000223273",1,0,"YAE1"
"9606.ENSP00000225174",8,801.903722129835,"PPIF"
"9606.ENSP00000225474",66,3547.32024580458,"CSF3"
"9606.ENSP00000225831",101,3400.52221598121,"CCL2"
"9606.ENSP00000226218",32,938.040749758875,"VTN"
"9606.ENSP00000226317",29,12.0200564359314,"CXCL6"
"9606.ENSP00000227348",6,41.0162446173932,"CRTAM"
"9606.ENSP00000227507",81,7779.43075306711,"CCND1"
"9606.ENSP00000228434",51,2311.82283874833,"CD69"
"9606.ENSP00000228534",25,16.3163845231992,"IL23A"
"9606.ENSP00000228606",7,682.422715886825,"CYP27B1"
"9606.ENSP00000229583",3,952.405242388897,"ADTRP"
"9606.ENSP00000229708",6,0,"ULBP1"
"9606.ENSP00000230671",3,57.3488775793089,"SLC6A7"
"9606.ENSP00000230990",44,2361.46824667688,"HBEGF"
"9606.ENSP00000231751",12,227.316313466065,"LTF"
"9606.ENSP00000231887",7,957.129820699777,"EHHADH"
"9606.ENSP00000232424",16,1010.25854745284,"HES1"
"9606.ENSP00000233146",20,3792.67702595028,"MSH2"
"9606.ENSP00000234091",22,833.422305026255,"ID2"
"9606.ENSP00000234198",2,0,"DLX2"
"9606.ENSP00000234296",8,442.023862705656,"ORC2"
"9606.ENSP00000234313",38,8703.21652740641,"PLEK"
"9606.ENSP00000234827",2,0,"TCEANC2"
"9606.ENSP00000235933",12,8.74691192027682,"CD160"
"9606.ENSP00000236495",1,0,"SLC5A9"
"9606.ENSP00000236826",35,1035.0844525885,"MMP8"
"9606.ENSP00000238647",3,220.472381682345,"IRF2BPL"
"9606.ENSP00000238651",5,284.077708523285,"ACOT2"
"9606.ENSP00000239690",4,353.108449251305,"NUDCD1"
"9606.ENSP00000239938",73,8589.10170891864,"EGR1"
"9606.ENSP00000240100",14,371.259333426426,"DUSP4"
"9606.ENSP00000240361",3,141.44003530892,"TEX14"
"9606.ENSP00000241125",5,145.644686146518,"GJA3"
"9606.ENSP00000241261",39,1622.99250556498,"TNFSF10"
"9606.ENSP00000241453",42,3266.5309267962,"FLT3"
"9606.ENSP00000242057",27,2798.79358825475,"AHR"
"9606.ENSP00000242465",12,227.720824481544,"SRGN"
"9606.ENSP00000242480",29,1878.65548201035,"EGR2"
"9606.ENSP00000242576",7,579.74809290664,"UNG"
"9606.ENSP00000242728",7,31.1989808899011,"BHLHE41"
"9606.ENSP00000243347",19,31.8464565123941,"TNFAIP6"
"9606.ENSP00000243457",8,1133.03856789916,"KCNJ2"
"9606.ENSP00000243924",13,131.330720129632,"PI3"
"9606.ENSP00000244050",48,2572.28728545094,"SNAI1"
"9606.ENSP00000244333",5,1260.79415103316,"LYPD3"
"9606.ENSP00000244336",14,1019.45504501338,"CEACAM8"
"9606.ENSP00000244360",1,0,"RNF39"
"9606.ENSP00000244709",37,3082.16399472647,"TREM1"
"9606.ENSP00000244751",2,0,"CPNE5"
"9606.ENSP00000244869",18,736.08125762664,"EREG"
"9606.ENSP00000245457",2,0,"PTGER2"
"9606.ENSP00000245903",17,58.1940737127499,"CD70"
"9606.ENSP00000246553",12,640.640680428696,"FFAR1"
