"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"TMEM72",4.00738358104451,-2.2300544157104,0.710896767382895,-3.13695956716775,0.00170709667173991,0.00856091943505665
"ATP6V0CP1",16.3337364789479,-2.22464778496654,0.571986933083413,-3.88933322825072,0.000100520017254332,0.000819879317687596
"RIMBP3",7.13726506762847,-2.196400665421,0.702765033677605,-3.12536987494544,0.00177581617480428,0.00884585560629955
"LINC01579",4.63319317766588,-2.1882311824281,0.81761365018439,-2.67636331895218,0.00744259158984726,0.0283132754915111
"CAP2P1",5.33103560331169,-2.18650836980368,0.738325384340743,-2.96144276788754,0.00306201395903041,0.013682416082461
"SOWAHD",84.6248777427118,-2.17624455993157,0.287215758724748,-7.57703744945682,3.5353475805837e-14,1.26127060284904e-11
"LINC02381",4.58392416793076,-2.17568139134898,0.816070137587803,-2.66604706034216,0.00767489485754713,0.0290113953102195
"HSPA1A",893.079008858445,-2.16578775798087,0.409350394528719,-5.29079191550389,1.21787866757227e-07,3.2328154274039e-06
"BEND3P1",3.83971963980362,-2.16028939511118,0.765030098568465,-2.82379660506632,0.0047458491420413,0.019591866927964
"ARL4AP4",5.91353144793766,-2.15368852786414,0.833002064875196,-2.58545400867262,0.00972508462143405,0.0351261153637467
"HSPA1B",49.4626892182344,-2.13170100583863,0.372905163050471,-5.71646953987096,1.08759954748383e-08,4.65242223693445e-07
"ZNF285",4.04232949071233,-2.10285225964818,0.733848353272647,-2.86551335881639,0.00416333706485356,0.0175776583580728
"GIMAP8",1219.71232315957,-2.10272861107145,0.347773105938004,-6.04626572661514,1.48241526735235e-09,9.14993894084123e-08
"KRT18P57",6.03806833597919,-2.09386954303651,0.729102527160165,-2.87184513156479,0.00408082900788817,0.0172824852428085
"SLC47A2",3.67955672003896,-2.08478656902963,0.800814946773875,-2.60333124079202,0.00923227070672083,0.0336092336462217
"PIWIL2",4.2983579493651,-2.0708557548072,0.824919192544333,-2.51037407484723,0.0120603327909142,0.0417246346633685
"LDLRAD4-AS1",4.91676209070737,-2.05501290145102,0.82874887488476,-2.47965694280644,0.0131508841480172,0.0448109783060803
"CTBP2P8",2.60320378537508,-2.04413060398676,0.811739792932457,-2.51820918696399,0.0117953243915452,0.0410226158113441
"CDK5R1",133.779805317138,-1.99910131136552,0.351404523889966,-5.68888894552619,1.27868588571252e-08,5.3168295639487e-07
"SLC40A1",623.892350160885,-1.99586677473944,0.371572639617068,-5.37140403232144,7.81259426396876e-08,2.25139025009168e-06
"SNORA16B",5.24890893288916,-1.95801233695615,0.71634895290137,-2.73332197810267,0.00626990069946199,0.0246738604572428
"PHACTR2-AS1",7.73203170114732,-1.95793239876935,0.538104471687987,-3.63857299425052,0.000274152926952375,0.00187728979308117
"DIAPH2-AS1",4.63342154808431,-1.95747007469606,0.687244069910805,-2.8482895093589,0.00439549190610771,0.0183894375957742
"ZKSCAN7",14.9313406869137,-1.93718659020397,0.395592897580881,-4.89691954039166,9.73506746948873e-07,1.76837203177943e-05
"EIF4HP2",4.87250815587968,-1.93268470385539,0.696436222272618,-2.775106523823,0.00551836297102515,0.0221205749836285
"SCRG1",7.5999011472649,-1.93209395729691,0.548064854358701,-3.52530168999376,0.000423000755008643,0.00269481695280149
"FLJ42393",5.45421542590613,-1.92734614990146,0.652273549332813,-2.95481267310759,0.0031285895105842,0.0139240967289923
"PAQR8",182.880289617992,-1.8979117462607,0.418519768053406,-4.53481983679803,5.76526763019968e-06,7.78507524507963e-05
"TMCC1-DT",10.7300278227521,-1.89689349167078,0.57191180641114,-3.31675875616934,0.000910682142233136,0.00510256594178317
"KRT18P31",3.55129203904682,-1.88647540957619,0.673962531929394,-2.79908054261661,0.00512483525255768,0.0208428662186785
"FCRL3",14.1007027694599,-1.87530317158358,0.521245612707636,-3.59773420795279,0.000321001402798828,0.00213737328224169
"KLHL13",2.93023537188918,-1.86993761757796,0.730800862922262,-2.55875124462855,0.0105048880535541,0.0373353642357639
"N6AMT1",17.6200483365359,-1.84564296226545,0.36903930356913,-5.00120974762168,5.69716890926665e-07,1.12792562711985e-05
