"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0034198","cellular response to amino acid starvation","18/4439","53/18842",0.339622641509434,1.44157914199612,1.7871570547605,0.0561348217064964,0.200774179826155,0.200774179826155,"LARS1/RNF152/GPR155/KICS2/MAP1LC3A/TFEB/RRAGD/SESN3/MTOR/SAR1A/CDKN1A/MAPK1/SESN2/ATF3/EIF2S1/IMPACT/ATF4/ATF2",18
"GO:0010828","positive regulation of D-glucose transmembrane transport","14/4439","39/18842",0.358974358974359,1.52372040364832,1.8175496837286,0.056292358411669,0.201092993596971,0.201092993596971,"CREBL2/C1QTNF12/CLTCL1/PRKCI/AKT2/C2CD5/OPN3/CLIP3/APPL1/AKT1/ZDHHC7/NR4A3/NFE2L2/PTPRM",14
"GO:0051101","regulation of DNA binding","14/4439","39/18842",0.358974358974359,1.52372040364832,1.8175496837286,0.056292358411669,0.201092993596971,0.201092993596971,"ZBTB7A/DOT1L/E2F1/SIRT2/RB1/FOXC1/HES1/IFI16/H1-0/NIBAN2/MMP9/PLAUR/SKI/NSD1",14
"GO:0046031","ADP metabolic process","29/4439","93/18842",0.311827956989247,1.3236004428005,1.7367191533007,0.0564276750413548,0.201246593724878,0.201246593724878,"ZBTB7A/PFKFB3/PPARA/PRXL2C/AK2/PKM/PFKP/ENTPD1/GAPDH/HK3/HDAC4/HK1/PRKAA1/NCOR1/PFKFB4/PPP2CA/PGK1/MLXIPL/MTOR/TIGAR/PFKL/FOXK2/BPGM/SRC/DHTKD1/HIF1A/GPI/SLC2A6/ENO1",29
"GO:0070167","regulation of biomineral tissue development","29/4439","93/18842",0.311827956989247,1.3236004428005,1.7367191533007,0.0564276750413548,0.201246593724878,0.201246593724878,"TGFB1/RXRB/BMPR2/ECM1/CEBPB/CCL3/HEY1/ATP2B1/NOTCH1/ROCK2/MEF2C/BMP6/GAS6/BMP2/VDR/ALOX5/TMEM119/ACVR2A/CYP27B1/KL/NBR1/CCR1/S1PR1/SMAD3/SRGN/TXLNG/LTF/OSR2/ANO6",29
"GO:0043112","receptor metabolic process","23/4439","71/18842",0.323943661971831,1.37502736627016,1.75758564328175,0.0564722584432055,0.201246593724878,0.201246593724878,"TGFB1/PEX1/INPP5F/RAB29/RNF43/PEX12/SMURF1/NEDD4L/PTPN1/DTX3L/CTSD/EPS15/PEX26/LAPTM5/NSF/KIF16B/RAB11B/AP1AR/FURIN/APOE/LDLR/HAMP/ABCA2",23
"GO:0051306","mitotic sister chromatid separation","23/4439","71/18842",0.323943661971831,1.37502736627016,1.75758564328175,0.0564722584432055,0.201246593724878,0.201246593724878,"ESPL1/BUB3/RB1/ANAPC7/RAD21/DYNLT1/MAD2L2/INCENP/APC/DYNC1H1/TTK/GEN1/DYNLT3/ZW10/DYNC1LI1/TEX14/ATM/NCAPH2/DYNC1I2/CDC23/TPR/DYNLL1/NDC80",23
"GO:0001906","cell killing","67/4439","238/18842",0.281512605042017,1.19492239337727,1.68002256656653,0.0565222682851636,0.201302808913847,0.201302808913847,"TGFB1/CXCL1/INPP5D/GBP1/CCL20/LAMP1/ICAM1/MICB/CD1A/CXCL3/CLU/ULBP1/HCST/CD55/IL23A/HAVCR2/PIK3R6/SPI1/CD226/STX7/HLA-B/NECTIN4/KLRD1/HLA-E/HLA-A/GBP5/SLAMF7/CXCL2/MICA/GBP2/NINJ1/DNASE1/FCGR1A/LGALS9/FCGR2B/RAB27A/HLA-C/HMGN2/NFKBIZ/HLA-DRA/AP1G1/RPS19/LGALS3/TUBB4B/HLA-F/GBP3/SERPINB9/IL12RB1/TREM1/ARRB2/ARL8B/PIK3C3/STXBP2/CXCL8/F2RL1/PLEKHM2/NECTIN2/AZU1/CRTAM/ULBP2/H2BC12/FCGR2C/FCGR3B/HAMP/LTF/VAV1/CD160",67
"GO:0006284","base-excision repair","16/4439","46/18842",0.347826086956522,1.47639989421824,1.79591559207531,0.0567015413905544,0.20157500808734,0.20157500808734,"PNKP/RPA2/HUWE1/PARP1/ADPRS/APEX1/APEX2/NTHL1/PRMT6/RPA1/POLB/NEIL1/PARG/FAM168A/HMGA1/UNG",16
"GO:0042158","lipoprotein biosynthetic process","16/4439","46/18842",0.347826086956522,1.47639989421824,1.79591559207531,0.0567015413905544,0.20157500808734,0.20157500808734,"PPM1B/PORCN/RAB3GAP2/UGCG/CLIP3/GLUL/ATG101/ZDHHC18/PIK3C3/ZDHHC7/ABCA1/NMT1/ZDHHC9/APOE/SELENOK/ULK1",16
