"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0048770","pigment granule","37/4608","112/19979",0.330357142857143,1.43233623201885,2.51215063325397,0.0101103435934142,0.0540847593497015,0.0540847593497015,"CD63/LAMP1/CALU/SLC2A1/TMED10/RAB29/RAB9A/HSP90B1/SLC3A2/MFSD12/PDCD6IP/RAB27A/GNA13/SGSM2/YWHAZ/RAC1/CANX/ATP7A/CTSD/RAB5B/FASN/RAB5C/RAB5A/ATP1A1/TFRC/ANXA11/HSP90AA1/PDIA4/FLOT1/RAB35/HSPA8/APOE/MLANA/RAB1A/CTSB/ATP1B3/CCT4",37
"GO:0030055","cell-substrate junction","116/4608","414/19979",0.280193236714976,1.2148395564949,2.41855333971873,0.0102226056420207,0.0540847593497015,0.0540847593497015,"SCARF2/ICAM1/PLEC/RALA/FHL1/TRIP6/ARHGEF2/PEAK3/WASF1/EZR/TPM4/SHC1/CD81/RPS2/YWHAQ/TGM2/HSPA9/DAG1/PDLIM7/SYNPO2/PAK1/ITGA3/ADAM9/HNRNPK/FZD2/TGFB1I1/VASP/ITGB8/MPZL1/HSP90B1/CFL1/RHOG/ATP6V0C/ANXA5/GNB2/CBL/ADGRE5/ARPC5L/PRUNE1/HSPB1/ACTB/BLOC1S6/TLN2/PPP1CB/DLC1/CYBA/RAB10/ADAM17/ARF1/RPS15/PLAU/HSPA1B/CTNNB1/PDCD6IP/PABPC1/ARPC1B/CASS4/GNA13/STARD8/RPS19/TNS1/PDLIM1/MAPRE1/YWHAZ/ALCAM/RAC1/ALOX15B/MAPK1/SDC4/ADGRB1/DNM2/RAC2/HYOU1/RHOB/RRAS2/FLNA/ARF6/PPP1R12A/FERMT3/ACTN4/VIM/RHOA/MME/ACTG1/VCL/SRC/NECTIN2/L1CAM/PALLD/KIF23/PLAUR/HMCN1/GDI2/ZYX/GNA12/ERBIN/ACTN1/FLOT1/PPP1CC/RDX/COL17A1/SNTB2/HSPA8/HMGA1/FLT1/ITGB7/MRC2/AHNAK/CLASP1/LIMS2/HSPA1A/PFN1/NEDD9/LRP1/GIT2/MARCKS",116
"GO:0000118","histone deacetylase complex","28/4608","80/19979",0.35,1.51750217013889,2.53935091859991,0.0102513596153029,0.0540847593497015,0.0540847593497015,"HDAC2/RBBP4/VPS72/SAP30/DNTTIP1/SINHCAF/ZNF217/KAT5/HDAC6/HDAC4/HDAC8/ACTR6/SAP30L/NCOR1/KDM3A/GATAD2A/CHD3/BRD8/EP400/ING3/GATAD2B/JMJD1C/SUDS3/TRRAP/SRCAP/SETD5/CSNK2A1/MTA1",28
"GO:0000812","Swr1 complex","8/4608","15/19979",0.533333333333333,2.31238425925926,2.78396672465981,0.0105085464977302,0.0546873338147183,0.0546873338147183,"VPS72/KAT5/ACTR6/BRD8/EP400/ING3/TRRAP/SRCAP",8
"GO:0005677","chromatin silencing complex","8/4608","15/19979",0.533333333333333,2.31238425925926,2.78396672465981,0.0105085464977302,0.0546873338147183,0.0546873338147183,"SIRT2/RRP8/MPHOSPH8/PPHLN1/SUZ12/EZH2/BAHD1/TASOR",8
"GO:0036452","ESCRT complex","13/4608","30/19979",0.433333333333333,1.87881221064815,2.63740802378074,0.0109992102684246,0.0568540260496271,0.0568540260496271,"STAM2/HGS/VPS36/CHMP1B/UBAP1/CHMP1A/UEVLD/VPS37B/CHMP7/VPS37C/CHMP4BP1/CHMP2A/CHMP4B",13
"GO:0030894","replisome","11/4608","24/19979",0.458333333333333,1.98720522280093,2.64952717017333,0.0116465244651105,0.0590838549883664,0.0590838549883664,"RPA2/POLD3/POLA1/PCNA/MCM3/POLA2/HELB/SMARCAL1/PRIM1/RPA1/PLRG1",11
"GO:0032039","integrator complex","10/4608","21/19979",0.476190476190476,2.06462880291005,2.67257885563305,0.0116623034029325,0.0590838549883664,0.0590838549883664,"INTS10/INTS13/INTS7/INTS2/NIPBL/INTS3/INTS11/INTS6/INTS5/INTS8",10
"GO:0032806","carboxy-terminal domain protein kinase complex","10/4608","21/19979",0.476190476190476,2.06462880291005,2.67257885563305,0.0116623034029325,0.0590838549883664,0.0590838549883664,"RB1/CDK13/GTF2H3/CDK12/GTF2H2C/GTF2H1/CCNT1/ERCC3/CDK9/CCNK",10
"GO:1905368","peptidase complex","37/4608","113/19979",0.327433628318584,1.41966069014258,2.44942121472706,0.0117631029663928,0.0592024590084902,0.0592024590084902,"TAF9/PSMC4/PSMC6/UCHL5/F3/TADA2A/ATXN7L3/UBQLN4/AFG3L2/PSMB2/PSMC3/USP14/DNAJB2/HSPB1/PRICKLE1/TAF12/SUPT7L/PLAU/SUPT20H/PSMB6/PMPCA/HTRA2/RAD23A/GPAA1/ADRM1/PSMA7/USP22/TRRAP/CAPNS1/PSME1/TAF10/PSMA1/PSMB4/PSMA6/ZFAND2B/VCP/PAAF1",37
"GO:0005791","rough endoplasmic reticulum","22/4608","60/19979",0.366666666666667,1.58976417824074,2.50496364965292,0.0120181252543661,0.0600906262718307,0.0600906262718307,"PLOD2/ZC3H12A/CKAP4/PKM/SPPL3/TMCC1/FKRP/RAB14/EDN1/VTN/SRP9/SUCO/SSR4/EPM2A/PIGA/SYNE3/F12/SEC61A1/CA4/PI4KB/SRPRB/RP9",22
"GO:0002102","podosome","16/4608","40/19979",0.4,1.73428819444444,2.545224137398,0.012342284649592,0.0613106997203761,0.0613106997203761,"SH3GL1/ADAM8/DBNL/PLEC/TPM4/HNRNPK/ASAP1/WDR1/BIN2/DNM2/FLNA/FERMT3/VCL/SRC/FSCN1/PALLD",16
"GO:0030681","multimeric ribonuclease P complex","6/4608","10/19979",0.6,2.60143229166667,2.77339418934436,0.0131796999038149,0.0646312206821692,0.0646312206821692,"POP7/RPP40/POP1/RPP25/RPP38/POP5",6
"GO:0042382","paraspeckles","6/4608","10/19979",0.6,2.60143229166667,2.77339418934436,0.0131796999038149,0.0646312206821692,0.0646312206821692,"SFPQ/NEAT1/NUDT21/BCL6/HNRNPM/PSPC1",6
