SYN1,GDF15,CDKN2A,SNAI1,SRC,CCR5,MAPK11,APOE,CDK1,HBEGF,ZC3H12A,SAG,PLAUR,CXCL8,VEGFA,IL1R2,MET,BCL6,TREM1,NAMPT,MUC1,SOS1,EGR2,SPP1,IL10,CD69,CSF3,MCM3,ICAM1,SOD2,BMP2,CDKN1A,CSF2,THBS1,KIF23,CCL2,FOSL1,MKI67,MYC,FLT3,CD80,SERPINE1,TRAF1,IL1B,CCL5,NR4A1,SRF,PRDM1,PLAU,PLEK,WNT5A,LMNA,PTGS2,ATF3,CTNNB1,AHR,HSPA1A,CEBPB,TIMP1,IL6,JAG1,SOCS3,E2F1,TTK,TNF,PPARG,EGR1,CCND1,LDLR,ACE,MMP9,HIF1A,SLC2A1,IFNB1,NFKBIA,EDN1,BCL2A1,FOS,class
18,17,7,84,1489,381,18,6,4,2146,447,2,3775,6758,1179,134,0,2640,3608,3958,8,998,1629,4,1,127,0,482,1132,9081,1,3459,0,2886,49,13,51,12,218,260,4,6,368,1929,66,6913,1460,126,12,7296,0,1453,1910,1313,3931,1096,2439,2020,2378,8,140,4645,95,1,368,2,13956,2,1056,24,59,2123,59,0,10323,4,1054,162304,0
19,28,11,474,1693,274,32,14,6,5245,1392,1,13333,23538,1731,143,2,7574,10656,21646,27,388,3158,2,23,153,0,194,3180,12733,13,6706,0,7556,9,45,872,21,294,310,17,51,497,16807,111,8108,2603,777,89,17144,0,2364,7415,4062,6712,2975,337,4506,2713,11,450,8316,85,2,631,15,20362,0,1537,13,104,6782,202,0,20551,50,2355,137771,1
64,55,5,1020,2827,318,45,10,2,13077,2132,5,26186,30366,3296,395,1,8713,11780,48017,22,361,3839,4,89,295,1,169,4308,15727,7,13362,0,25376,3,342,1819,10,549,134,20,33,446,17872,124,12689,3058,1403,59,22173,1,5384,10374,4658,8057,3634,192,7070,6056,40,397,11176,78,1,1001,43,21861,10,2286,9,118,9176,333,0,19726,93,4448,99227,1
9,34,2,484,1815,456,23,5,2,4890,1416,3,13178,12277,2797,101,1,6334,10374,15777,34,598,6419,3,33,254,2,355,2717,12411,3,9983,1,1743,19,125,814,14,151,142,16,29,382,14179,168,11220,2910,1003,37,15852,1,2930,8076,5361,5119,2458,613,4163,2436,16,243,9294,42,2,986,27,40087,0,1652,14,58,4313,210,0,21651,46,2166,120746,1
34,20,25,888,3150,907,64,5,68,1732,7187,8,41945,155560,1380,98,7,12152,6493,40767,22,538,4235,0,8,488,139,237,11245,85282,15,16041,34,15844,22,554,1319,26,917,109,44,41,1600,224565,892,20049,2577,7229,296,43520,2,3171,43653,5757,4710,4546,329,2774,4549,2681,295,32164,57,13,100909,54,76859,11,4110,64,127,8023,201,226,238733,250,14772,33771,1
93,43,19,898,2559,780,35,14,56,6248,7689,7,57488,305038,2006,1591,28,12923,17231,82134,36,265,3698,29,51,411,52,118,12414,96754,45,15114,89,38691,7,254,2090,35,1004,455,37,78,1468,237795,692,7801,3357,3528,749,55138,3,3767,57573,4466,6589,6296,285,3504,5985,2181,673,31861,60,6,75921,219,70664,9,3964,17,961,15476,320,66,284313,497,15598,54793,1
127,72,37,5219,6855,1257,56,33,5,9031,12309,11,46542,88784,10913,566,19,8025,32684,89862,41,230,4613,27,208,2329,35,58,11826,77178,4,34340,57,15574,0,2185,4301,10,2286,61,135,694,2093,144819,741,9278,4715,2067,881,46644,61,21764,16752,8079,23988,9279,107,6554,7250,462,1939,18278,119,12,13877,75,8595,7,11045,9,408,21237,388,60,94048,107,9096,20200,1
52,13,11,899,1334,146,31,13,16,3810,6807,2,27058,47514,2056,179,1,9472,11252,34441,58,582,2522,4,19,312,24,269,7739,33560,31,14919,2,8212,18,45,1496,46,348,199,9,19,512,76528,126,8073,3127,3001,130,23110,6,1522,14106,3337,5440,3751,310,8427,3940,129,357,18739,33,1,8029,28,12819,0,2483,20,133,7047,166,1,117337,58,5591,50461,1
74,38,8,1072,2669,155,54,8,3,8661,1906,4,17558,18942,3929,250,5,8674,10172,35654,27,361,5217,4,68,857,4,237,4008,12040,14,11555,1,20013,15,247,1218,68,357,106,24,83,463,15637,181,18900,2434,1724,195,19971,0,8324,6488,4140,8585,4309,165,6146,4083,26,586,9535,119,3,1167,27,39227,4,3010,18,194,9066,405,0,19169,64,2779,110489,1
54,37,4,698,1898,345,22,21,17,4952,1315,2,10686,29017,1924,235,5,8020,8149,23352,35,513,6337,1,65,265,0,206,2975,13650,5,13394,0,72889,23,29,855,74,128,441,12,19,372,17821,199,11785,1886,3260,189,16613,7,11917,11453,4769,7841,2988,212,4305,3415,36,559,5636,116,3,1720,14,13946,6,3075,47,184,6329,384,0,19094,90,2702,64897,1
